id,fy_year,Taxable_Income_percentile,avg_tax_rate,avg_tax_bill,total_tax_bn,min_income,max_income,avg_income,facet,Financial year ending,label
Baseline,2027-28,1,0,0,0,0,0,0,Baseline,2028,
Baseline,2027-28,2,0,0,0,0,187,37.1535608308605,Baseline,2028,
Baseline,2027-28,3,0,0,0,187,825,508.557656655543,Baseline,2028,
Baseline,2027-28,4,0,0,0,825,1978,1321.05934718101,Baseline,2028,
Baseline,2027-28,5,0,0,0,1978,3554,2742.58642433234,Baseline,2028,
Baseline,2027-28,6,0,0,0,3555,5216,4373.62736373749,Baseline,2028,
Baseline,2027-28,7,0,0,0,5216,6965,6078.43137982196,Baseline,2028,
Baseline,2027-28,8,0,0,0,6965,8615,7793.16425658139,Baseline,2028,
Baseline,2027-28,9,0,0,0,8615,10243,9410.21995548961,Baseline,2028,
Baseline,2027-28,10,0,0,0,10245,11754,11015.9462166172,Baseline,2028,
Baseline,2027-28,11,0,0,0,11754,13203,12507.4790507972,Baseline,2028,
Baseline,2027-28,12,0,0,0,13205,14583,13888.0764094956,Baseline,2028,
Baseline,2027-28,13,0,0,0,14584,15858,15225.1193919169,Baseline,2028,
Baseline,2027-28,14,0,0,0,15859,17177,16519.1194362018,Baseline,2028,
Baseline,2027-28,15,0,0,0,17177,18424,17789.9770029674,Baseline,2028,
Baseline,2027-28,16,0,0,0,18425,19622,19014.9629217649,Baseline,2028,
Baseline,2027-28,17,0,4.31379821958457,0.001,19623,20804,20223.6550445104,Baseline,2028,
Baseline,2027-28,18,0.006,133.244345569151,0.022,20805,22031,21421.2146829811,Baseline,2028,
Baseline,2027-28,19,0.014,325.209569732938,0.053,22031,23288,22672.9799703264,Baseline,2028,
Baseline,2027-28,20,0.021,502.406899109792,0.083,23289,24500,23867.9721810089,Baseline,2028,
Baseline,2027-28,21,0.028,701.108268446422,0.115,24500,25718,25123.8843159066,Baseline,2028,
Baseline,2027-28,22,0.035,926.834569732938,0.152,25718,26889,26313.0148367953,Baseline,2028,
Baseline,2027-28,23,0.044,1201.68434718101,0.197,26890,28025,27467.0014836795,Baseline,2028,
Baseline,2027-28,24,0.052,1497.75157582499,0.246,28026,29097,28572.014831294,Baseline,2028,
Baseline,2027-28,25,0.06,1785.2559347181,0.293,29097,30207,29658.340504451,Baseline,2028,
Baseline,2027-28,26,0.067,2050.20615498702,0.337,30207,31369,30786.8609566185,Baseline,2028,
Baseline,2027-28,27,0.075,2387.28857566766,0.392,31370,32418,31897.9484421365,Baseline,2028,
Baseline,2027-28,28,0.081,2670.27114243323,0.439,32419,33448,32924.9432492582,Baseline,2028,
Baseline,2027-28,29,0.084,2848.63032999629,0.468,33448,34559,34001.5517241379,Baseline,2028,
Baseline,2027-28,30,0.088,3099.48330860534,0.509,34560,35698,35119.8067507418,Baseline,2028,
Baseline,2027-28,31,0.093,3385.52428624398,0.557,35698,36841,36260.8765294772,Baseline,2028,
Baseline,2027-28,32,0.1,3739.35979228487,0.614,36842,38030,37433.1576409496,Baseline,2028,
Baseline,2027-28,33,0.108,4189.62945103858,0.688,38031,39254,38645.0014836795,Baseline,2028,
Baseline,2027-28,34,0.116,4622.91101223582,0.76,39254,40463,39848.4041527623,Baseline,2028,
Baseline,2027-28,35,0.124,5098.51149851632,0.838,40463,41702,41091.1231454006,Baseline,2028,
Baseline,2027-28,36,0.132,5568.13978494624,0.915,41703,42943,42332.2109751576,Baseline,2028,
Baseline,2027-28,37,0.139,6072.57381305638,0.998,42944,44193,43561.6275964392,Baseline,2028,
Baseline,2027-28,38,0.146,6544.46995548961,1.075,44193,45421,44808.662462908,Baseline,2028,
Baseline,2027-28,39,0.152,7008.12309974045,1.152,45421,46644,46033.1019651465,Baseline,2028,
Baseline,2027-28,40,0.158,7468.69324925816,1.227,46644,47853,47252.1097922849,Baseline,2028,
Baseline,2027-28,41,0.164,7931.22181008902,1.303,47853,49082,48482.603115727,Baseline,2028,
Baseline,2027-28,42,0.169,8388.70337411939,1.379,49082,50262,49673.6725991843,Baseline,2028,
Baseline,2027-28,43,0.173,8822.95994065282,1.45,50263,51432,50857.9362017804,Baseline,2028,
Baseline,2027-28,44,0.178,9258.2703003337,1.522,51432,52637,52030.070819429,Baseline,2028,
